trial_id,language,noise_code,error_type,ground_truth_segment,caption_segment
K03-S06-C2,Korean,C2,Substitution,메뉴판 좀 건네줄래요? 오늘은 수프랑 샐러드를 먹고 싶어요.,메뉴판 좀 건네줄래요? 다음 조금 샐러드를 금요일 다음
K03-S06-C3,Korean,C3,Substitution,메뉴판 좀 건네줄래요? 오늘은 수프랑 샐러드를 먹고 싶어요.,메뉴판 좀 건네줄래요? 메뉴 수프랑 샐러드를 내일 다음
K03-S06-C3,Korean,C3,Deletion,메뉴판 좀 건네줄래요? 오늘은 수프랑 샐러드를 먹고 싶어요.,메뉴판 좀 건네줄래요? 메뉴 수프랑 샐러드를 내일 다음
K03-S07-C1,Korean,C1,Substitution,"잠깐, 그럼 금요일에 만나는 거예요 토요일에 만나는 거예요? 그리고 음식은 누가 가져와요?","잠깐, 그럼 금요일에 만나는 거예요 토요일에 만나는 시작해요 그리고 음식은 누가 가져와요?"
K03-S07-C2,Korean,C2,Substitution,"잠깐, 그럼 금요일에 만나는 거예요 토요일에 만나는 거예요? 그리고 음식은 누가 가져와요?",오늘 그럼 금요일에 내일 도착했어요 토요일에 만나는 거예요? 메뉴 내일 누가 가져와요?
K03-S07-C2,Korean,C2,Deletion,"잠깐, 그럼 금요일에 만나는 거예요 토요일에 만나는 거예요? 그리고 음식은 누가 가져와요?",오늘 그럼 금요일에 내일 도착했어요 토요일에 만나는 거예요? 메뉴 내일 누가 가져와요?
K03-S07-C2,Korean,C2,Insertion,"잠깐, 그럼 금요일에 만나는 거예요 토요일에 만나는 거예요? 그리고 음식은 누가 가져와요?",오늘 그럼 금요일에 내일 도착했어요 토요일에 만나는 거예요? 메뉴 내일 누가 가져와요?
K03-S07-C3,Korean,C3,Substitution,"잠깐, 그럼 금요일에 만나는 거예요 토요일에 만나는 거예요? 그리고 음식은 누가 가져와요?",조금 정말 금요일에 만나는 거예요 토요일에 오늘 토요일 내일 음식은 가져와요 가져와요?
K04-S01-C0,Korean,C0,Insertion,회의는 세 시에 시작합니다.,회의는 세 도착했어요 시작합니다.
K04-S01-C1,Korean,C1,Substitution,회의는 세 시에 시작합니다.,회의는 시작해요 시에 토요일
K04-S01-C1,Korean,C1,Deletion,회의는 세 시에 시작합니다.,회의는 시작해요 시에 토요일
K04-S01-C2,Korean,C2,Substitution,회의는 세 시에 시작합니다.,회의는 내일 이야기 메뉴
K04-S01-C2,Korean,C2,Insertion,회의는 세 시에 시작합니다.,회의는 내일 이야기 메뉴
K04-S01-C3,Korean,C3,Substitution,회의는 세 시에 시작합니다.,이야기 음식 내일 가져와요
K04-S01-C3,Korean,C3,Deletion,회의는 세 시에 시작합니다.,이야기 음식 내일 가져와요
K04-S01-C3,Korean,C3,Insertion,회의는 세 시에 시작합니다.,이야기 음식 내일 가져와요
K04-S02-C0,Korean,C0,Insertion,나가실 때 문을 닫아 주세요.,나가실 도착했어요 문을 닫아 주세요.
K04-S02-C1,Korean,C1,Substitution,나가실 때 문을 닫아 주세요.,나가실 다음 문을 닫아 정말
K04-S02-C1,Korean,C1,Insertion,나가실 때 문을 닫아 주세요.,나가실 다음 문을 닫아 정말
K04-S02-C2,Korean,C2,Substitution,나가실 때 문을 닫아 주세요.,나가실 때 문을 조금 정말
K04-S02-C2,Korean,C2,Deletion,나가실 때 문을 닫아 주세요.,나가실 때 문을 조금 정말
K04-S02-C3,Korean,C3,Substitution,나가실 때 문을 닫아 주세요.,나가실 때 메뉴 가져와요 이야기
K04-S02-C3,Korean,C3,Deletion,나가실 때 문을 닫아 주세요.,나가실 때 메뉴 가져와요 이야기
K04-S03-C1,Korean,C1,Substitution,다음 신호등에서 좌회전하세요.,정말 조금 좌회전하세요.
K04-S03-C2,Korean,C2,Substitution,다음 신호등에서 좌회전하세요.,금요일 시작해요 좌회전하세요.
K04-S03-C2,Korean,C2,Deletion,다음 신호등에서 좌회전하세요.,금요일 시작해요 좌회전하세요.
K04-S03-C3,Korean,C3,Substitution,다음 신호등에서 좌회전하세요.,도착했어요 다음 음식
K04-S03-C3,Korean,C3,Deletion,다음 신호등에서 좌회전하세요.,도착했어요 다음 음식
K04-S03-C3,Korean,C3,Insertion,다음 신호등에서 좌회전하세요.,도착했어요 다음 음식
K04-S04-C1,Korean,C1,Deletion,소포가 오늘 아침에 도착했습니다.,메뉴 오늘 아침에 도착했습니다.
K04-S04-C2,Korean,C2,Insertion,소포가 오늘 아침에 도착했습니다.,도착했어요 오늘 아침에 도착했습니다.
K04-S04-C3,Korean,C3,Substitution,소포가 오늘 아침에 도착했습니다.,정말 시작해요 시작해요 도착했습니다.
K04-S05-C0,Korean,C0,Insertion,오늘은 신경계와 신호가 몸속을 이동하는 방식에 대해 이야기해 볼게요.,오늘은 신경계와 신호가 몸속을 이동하는 오늘 대해 이야기해 볼게요.
K04-S05-C1,Korean,C1,Deletion,오늘은 신경계와 신호가 몸속을 이동하는 방식에 대해 이야기해 볼게요.,오늘은 시작해요 신호가 몸속을 이동하는 방식에 대해 이야기해 볼게요.
K04-S05-C2,Korean,C2,Substitution,오늘은 신경계와 신호가 몸속을 이동하는 방식에 대해 이야기해 볼게요.,이야기 신경계와 신호가 몸속을 이동하는 방식에 대해 이야기해 정말
K04-S05-C3,Korean,C3,Substitution,오늘은 신경계와 신호가 몸속을 이동하는 방식에 대해 이야기해 볼게요.,가져와요 신경계와 금요일 정말 이동하는 방식에 대해 이야기해 메뉴
K04-S05-C3,Korean,C3,Deletion,오늘은 신경계와 신호가 몸속을 이동하는 방식에 대해 이야기해 볼게요.,가져와요 신경계와 금요일 정말 이동하는 방식에 대해 이야기해 메뉴
K04-S06-C1,Korean,C1,Insertion,메뉴판 좀 건네줄래요? 오늘은 수프랑 샐러드를 먹고 싶어요.,메뉴판 좀 건네줄래요? 가져와요 수프랑 샐러드를 먹고 싶어요.
K04-S06-C2,Korean,C2,Substitution,메뉴판 좀 건네줄래요? 오늘은 수프랑 샐러드를 먹고 싶어요.,메뉴판 좀 신호등 오늘은 수프랑 샐러드를 오늘 싶어요.
K04-S06-C2,Korean,C2,Insertion,메뉴판 좀 건네줄래요? 오늘은 수프랑 샐러드를 먹고 싶어요.,메뉴판 좀 신호등 오늘은 수프랑 샐러드를 오늘 싶어요.
K04-S06-C3,Korean,C3,Substitution,메뉴판 좀 건네줄래요? 오늘은 수프랑 샐러드를 먹고 싶어요.,메뉴판 오늘 건네줄래요? 오늘은 다음 토요일 음식 메뉴
K04-S06-C3,Korean,C3,Insertion,메뉴판 좀 건네줄래요? 오늘은 수프랑 샐러드를 먹고 싶어요.,메뉴판 오늘 건네줄래요? 오늘은 다음 토요일 음식 메뉴
K04-S07-C0,Korean,C0,Substitution,"잠깐, 그럼 금요일에 만나는 거예요 토요일에 만나는 거예요? 그리고 음식은 누가 가져와요?","잠깐, 그럼 금요일에 만나는 거예요 토요일에 만나는 거예요? 그리고 금요일 누가 가져와요?"
K04-S07-C1,Korean,C1,Substitution,"잠깐, 그럼 금요일에 만나는 거예요 토요일에 만나는 거예요? 그리고 음식은 누가 가져와요?","잠깐, 그럼 금요일에 만나는 거예요 토요일에 만나는 거예요? 그리고 음식은 누가 다음"
K04-S07-C2,Korean,C2,Deletion,"잠깐, 그럼 금요일에 만나는 거예요 토요일에 만나는 거예요? 그리고 음식은 누가 가져와요?",도착했어요 그럼 금요일에 만나는 거예요 토요일에 만나는 거예요? 조금 음식은 누가 조금
K04-S07-C3,Korean,C3,Deletion,"잠깐, 그럼 금요일에 만나는 거예요 토요일에 만나는 거예요? 그리고 음식은 누가 가져와요?","잠깐, 시작해요 금요일에 조금 거예요 토요일 메뉴 거예요? 도착했어요 음식은 누가 가져와요?"
K04-S07-C3,Korean,C3,Insertion,"잠깐, 그럼 금요일에 만나는 거예요 토요일에 만나는 거예요? 그리고 음식은 누가 가져와요?","잠깐, 시작해요 금요일에 조금 거예요 토요일 메뉴 거예요? 도착했어요 음식은 누가 가져와요?"
K05-S01-C1,Korean,C1,Deletion,회의는 세 시에 시작합니다.,금요일 세 시에 시작합니다.
K05-S01-C1,Korean,C1,Insertion,회의는 세 시에 시작합니다.,금요일 세 시에 시작합니다.
K05-S01-C2,Korean,C2,Deletion,회의는 세 시에 시작합니다.,시작해요 세 토요일 시작합니다.
K05-S01-C2,Korean,C2,Insertion,회의는 세 시에 시작합니다.,시작해요 세 토요일 시작합니다.
K05-S01-C3,Korean,C3,Substitution,회의는 세 시에 시작합니다.,음식 세 도착했어요 토요일
K05-S02-C1,Korean,C1,Substitution,나가실 때 문을 닫아 주세요.,음식 때 시작해요 가져와요 주세요.
K05-S02-C2,Korean,C2,Deletion,나가실 때 문을 닫아 주세요.,나가실 오늘 문을 닫아 주세요.
K05-S02-C3,Korean,C3,Substitution,나가실 때 문을 닫아 주세요.,도착했어요 이야기 문을 닫아 조금
K05-S02-C3,Korean,C3,Insertion,나가실 때 문을 닫아 주세요.,도착했어요 이야기 문을 닫아 조금
K05-S03-C1,Korean,C1,Deletion,다음 신호등에서 좌회전하세요.,도착했어요 신호등에서 토요일
K05-S03-C2,Korean,C2,Substitution,다음 신호등에서 좌회전하세요.,정말 신호등에서 음식
K05-S03-C2,Korean,C2,Insertion,다음 신호등에서 좌회전하세요.,정말 신호등에서 음식
K05-S03-C3,Korean,C3,Substitution,다음 신호등에서 좌회전하세요.,다음 내일 내일
K05-S03-C3,Korean,C3,Insertion,다음 신호등에서 좌회전하세요.,다음 내일 내일
K05-S04-C1,Korean,C1,Deletion,소포가 오늘 아침에 도착했습니다.,소포가 도착했어요 아침에 도착했습니다.
K05-S04-C2,Korean,C2,Deletion,소포가 오늘 아침에 도착했습니다.,시작해요 조금 아침에 신호등
K05-S04-C2,Korean,C2,Insertion,소포가 오늘 아침에 도착했습니다.,시작해요 조금 아침에 신호등
K05-S04-C3,Korean,C3,Substitution,소포가 오늘 아침에 도착했습니다.,오늘 이야기 가져와요 정말
K05-S05-C0,Korean,C0,Deletion,오늘은 신경계와 신호가 몸속을 이동하는 방식에 대해 이야기해 볼게요.,오늘은 신경계와 신호가 몸속을 이동하는 방식에 대해 이야기해 신호등
K05-S05-C1,Korean,C1,Substitution,오늘은 신경계와 신호가 몸속을 이동하는 방식에 대해 이야기해 볼게요.,오늘은 이야기 음식 몸속을 이동하는 토요일 대해 이야기해 볼게요.
K05-S05-C1,Korean,C1,Deletion,오늘은 신경계와 신호가 몸속을 이동하는 방식에 대해 이야기해 볼게요.,오늘은 이야기 음식 몸속을 이동하는 토요일 대해 이야기해 볼게요.
K05-S05-C1,Korean,C1,Insertion,오늘은 신경계와 신호가 몸속을 이동하는 방식에 대해 이야기해 볼게요.,오늘은 이야기 음식 몸속을 이동하는 토요일 대해 이야기해 볼게요.
K05-S05-C2,Korean,C2,Deletion,오늘은 신경계와 신호가 몸속을 이동하는 방식에 대해 이야기해 볼게요.,오늘은 신경계와 오늘 몸속을 토요일 금요일 대해 이야기해 볼게요.
K05-S05-C2,Korean,C2,Insertion,오늘은 신경계와 신호가 몸속을 이동하는 방식에 대해 이야기해 볼게요.,오늘은 신경계와 오늘 몸속을 토요일 금요일 대해 이야기해 볼게요.
K05-S05-C3,Korean,C3,Deletion,오늘은 신경계와 신호가 몸속을 이동하는 방식에 대해 이야기해 볼게요.,내일 신경계와 신호가 정말 내일 방식에 음식 이야기해 내일
K05-S05-C3,Korean,C3,Insertion,오늘은 신경계와 신호가 몸속을 이동하는 방식에 대해 이야기해 볼게요.,내일 신경계와 신호가 정말 내일 방식에 음식 이야기해 내일
K05-S06-C1,Korean,C1,Substitution,메뉴판 좀 건네줄래요? 오늘은 수프랑 샐러드를 먹고 싶어요.,메뉴판 좀 건네줄래요? 오늘은 다음 샐러드를 먹고 싶어요.
K05-S06-C2,Korean,C2,Substitution,메뉴판 좀 건네줄래요? 오늘은 수프랑 샐러드를 먹고 싶어요.,메뉴판 좀 건네줄래요? 도착했어요 수프랑 샐러드를 금요일 싶어요.
K05-S06-C3,Korean,C3,Substitution,메뉴판 좀 건네줄래요? 오늘은 수프랑 샐러드를 먹고 싶어요.,내일 좀 건네줄래요? 조금 수프랑 샐러드를 가져와요 싶어요.
K05-S06-C3,Korean,C3,Insertion,메뉴판 좀 건네줄래요? 오늘은 수프랑 샐러드를 먹고 싶어요.,내일 좀 건네줄래요? 조금 수프랑 샐러드를 가져와요 싶어요.
K05-S07-C1,Korean,C1,Substitution,"잠깐, 그럼 금요일에 만나는 거예요 토요일에 만나는 거예요? 그리고 음식은 누가 가져와요?","잠깐, 그럼 조금 메뉴 내일 토요일에 만나는 거예요? 그리고 음식은 누가 가져와요?"
K05-S07-C2,Korean,C2,Deletion,"잠깐, 그럼 금요일에 만나는 거예요 토요일에 만나는 거예요? 그리고 음식은 누가 가져와요?",도착했어요 그럼 가져와요 만나는 거예요 신호등 메뉴 거예요? 그리고 음식은 누가 정말
K05-S07-C2,Korean,C2,Insertion,"잠깐, 그럼 금요일에 만나는 거예요 토요일에 만나는 거예요? 그리고 음식은 누가 가져와요?",도착했어요 그럼 가져와요 만나는 거예요 신호등 메뉴 거예요? 그리고 음식은 누가 정말
K05-S07-C3,Korean,C3,Insertion,"잠깐, 그럼 금요일에 만나는 거예요 토요일에 만나는 거예요? 그리고 음식은 누가 가져와요?","잠깐, 그럼 금요일에 만나는 거예요 금요일 내일 거예요? 그리고 오늘 누가 가져와요?"
K06-S01-C0,Korean,C0,Insertion,회의는 세 시에 시작합니다.,회의는 세 시에 다음
K06-S01-C1,Korean,C1,Deletion,회의는 세 시에 시작합니다.,메뉴 세 시에 시작합니다.
K06-S01-C2,Korean,C2,Substitution,회의는 세 시에 시작합니다.,도착했어요 세 시에 이야기
K06-S01-C3,Korean,C3,Substitution,회의는 세 시에 시작합니다.,오늘 세 가져와요 내일
K06-S01-C3,Korean,C3,Insertion,회의는 세 시에 시작합니다.,오늘 세 가져와요 내일
K06-S02-C1,Korean,C1,Deletion,나가실 때 문을 닫아 주세요.,다음 때 문을 닫아 주세요.
K06-S02-C2,Korean,C2,Substitution,나가실 때 문을 닫아 주세요.,이야기 때 신호등 메뉴 주세요.
K06-S02-C2,Korean,C2,Insertion,나가실 때 문을 닫아 주세요.,이야기 때 신호등 메뉴 주세요.
K06-S02-C3,Korean,C3,Substitution,나가실 때 문을 닫아 주세요.,나가실 정말 문을 내일 조금
K06-S02-C3,Korean,C3,Insertion,나가실 때 문을 닫아 주세요.,나가실 정말 문을 내일 조금
K06-S03-C1,Korean,C1,Substitution,다음 신호등에서 좌회전하세요.,토요일 신호등에서 좌회전하세요.
K06-S03-C2,Korean,C2,Substitution,다음 신호등에서 좌회전하세요.,이야기 신호등에서 좌회전하세요.
K06-S03-C3,Korean,C3,Substitution,다음 신호등에서 좌회전하세요.,내일 내일 정말
K06-S04-C1,Korean,C1,Substitution,소포가 오늘 아침에 도착했습니다.,소포가 금요일 아침에 도착했습니다.
K06-S04-C2,Korean,C2,Substitution,소포가 오늘 아침에 도착했습니다.,다음 오늘 아침에 이야기
K06-S04-C2,Korean,C2,Deletion,소포가 오늘 아침에 도착했습니다.,다음 오늘 아침에 이야기
K06-S04-C3,Korean,C3,Substitution,소포가 오늘 아침에 도착했습니다.,금요일 토요일 이야기 도착했습니다.
K06-S04-C3,Korean,C3,Deletion,소포가 오늘 아침에 도착했습니다.,금요일 토요일 이야기 도착했습니다.
K06-S05-C1,Korean,C1,Substitution,오늘은 신경계와 신호가 몸속을 이동하는 방식에 대해 이야기해 볼게요.,오늘은 신경계와 신호가 몸속을 정말 방식에 조금 이야기해 볼게요.
K06-S05-C1,Korean,C1,Deletion,오늘은 신경계와 신호가 몸속을 이동하는 방식에 대해 이야기해 볼게요.,오늘은 신경계와 신호가 몸속을 정말 방식에 조금 이야기해 볼게요.
K06-S05-C2,Korean,C2,Substitution,오늘은 신경계와 신호가 몸속을 이동하는 방식에 대해 이야기해 볼게요.,오늘은 신경계와 오늘 몸속을 이동하는 방식에 오늘 이야기해 볼게요.
K06-S05-C3,Korean,C3,Deletion,오늘은 신경계와 신호가 몸속을 이동하는 방식에 대해 이야기해 볼게요.,오늘은 신경계와 신호가 몸속을 이동하는 조금 조금 다음 볼게요.
K06-S05-C3,Korean,C3,Insertion,오늘은 신경계와 신호가 몸속을 이동하는 방식에 대해 이야기해 볼게요.,오늘은 신경계와 신호가 몸속을 이동하는 조금 조금 다음 볼게요.
K06-S06-C1,Korean,C1,Substitution,메뉴판 좀 건네줄래요? 오늘은 수프랑 샐러드를 먹고 싶어요.,오늘 좀 건네줄래요? 도착했어요 수프랑 샐러드를 내일 싶어요.
K06-S06-C2,Korean,C2,Substitution,메뉴판 좀 건네줄래요? 오늘은 수프랑 샐러드를 먹고 싶어요.,메뉴판 오늘 건네줄래요? 오늘은 수프랑 샐러드를 음식 싶어요.
K06-S06-C3,Korean,C3,Substitution,메뉴판 좀 건네줄래요? 오늘은 수프랑 샐러드를 먹고 싶어요.,메뉴판 좀 정말 시작해요 수프랑 가져와요 먹고 메뉴
K06-S06-C3,Korean,C3,Insertion,메뉴판 좀 건네줄래요? 오늘은 수프랑 샐러드를 먹고 싶어요.,메뉴판 좀 정말 시작해요 수프랑 가져와요 먹고 메뉴
K06-S07-C1,Korean,C1,Insertion,"잠깐, 그럼 금요일에 만나는 거예요 토요일에 만나는 거예요? 그리고 음식은 누가 가져와요?",신호등 그럼 금요일에 만나는 거예요 토요일에 만나는 거예요? 그리고 음식은 누가 가져와요?
K06-S07-C2,Korean,C2,Substitution,"잠깐, 그럼 금요일에 만나는 거예요 토요일에 만나는 거예요? 그리고 음식은 누가 가져와요?","잠깐, 그럼 정말 만나는 거예요 토요일에 신호등 이야기 그리고 음식은 누가 가져와요?"
K06-S07-C2,Korean,C2,Deletion,"잠깐, 그럼 금요일에 만나는 거예요 토요일에 만나는 거예요? 그리고 음식은 누가 가져와요?","잠깐, 그럼 정말 만나는 거예요 토요일에 신호등 이야기 그리고 음식은 누가 가져와요?"
K06-S07-C3,Korean,C3,Substitution,"잠깐, 그럼 금요일에 만나는 거예요 토요일에 만나는 거예요? 그리고 음식은 누가 가져와요?","잠깐, 메뉴 금요일에 만나는 가져와요 이야기 만나는 거예요? 그리고 음식은 누가 가져와요?"
K06-S07-C3,Korean,C3,Deletion,"잠깐, 그럼 금요일에 만나는 거예요 토요일에 만나는 거예요? 그리고 음식은 누가 가져와요?","잠깐, 메뉴 금요일에 만나는 가져와요 이야기 만나는 거예요? 그리고 음식은 누가 가져와요?"
K06-S07-C3,Korean,C3,Insertion,"잠깐, 그럼 금요일에 만나는 거예요 토요일에 만나는 거예요? 그리고 음식은 누가 가져와요?","잠깐, 메뉴 금요일에 만나는 가져와요 이야기 만나는 거예요? 그리고 음식은 누가 가져와요?"
