trial_id,participant_id,language,sentence_id,noise_code,ground_truth,n_tokens,caption_output,substitutions,deletions,insertions,latency_ms
E05-S06-C3,E05,English,S06,C3,"Could you pass the menu, I think I want the soup and a salad tonight.",15,"Could you pass signals menu, I think I want the soup soup a menu signals.",1,0,3,1241
E05-S07-C0,E05,English,S07,C0,"Wait, so are we meeting Friday or Saturday, and who is bringing the food?",14,"Wait, so are we meeting Friday or Saturday, and who is bringing the food?",0,0,0,719
E05-S07-C1,E05,English,S07,C1,"Wait, so are we meeting Friday or Saturday, and who is bringing the food?",14,"Wait, so are we meeting Friday or Saturday, and who is bringing the food?",1,0,0,803
E05-S07-C2,E05,English,S07,C2,"Wait, so are we meeting Friday or Saturday, and who is bringing the food?",14,"Wait, door are food meeting Friday door Saturday, and who is bringing light food?",4,0,1,1155
E05-S07-C3,E05,English,S07,C3,"Wait, so are we meeting Friday or Saturday, and who is bringing the food?",14,"menu, body are we meeting Friday or Saturday, and who starts bringing the food?",0,1,3,1293
E06-S01-C0,E06,English,S01,C0,The meeting begins at three.,5,The meeting begins at three.,0,0,0,580
E06-S01-C1,E06,English,S01,C1,The meeting begins at three.,5,The Friday morning salad three.,3,0,0,751
E06-S01-C2,E06,English,S01,C2,The meeting begins at three.,5,food meeting body door meeting.,4,0,0,1102
E06-S01-C3,E06,English,S01,C3,The meeting begins at three.,5,signals meeting package at menu.,0,3,3,1592
E06-S02-C0,E06,English,S02,C0,Please close the door behind you.,6,Please close the soup behind you.,0,1,0,608
E06-S02-C1,E06,English,S02,C1,Please close the door behind you.,6,meeting close the door behind you.,2,0,0,887
E06-S02-C2,E06,English,S02,C2,Please close the door behind you.,6,Please Friday the morning Saturday door.,4,0,1,1092
E06-S02-C3,E06,English,S02,C3,Please close the door behind you.,6,Please Saturday the starts behind light.,4,0,2,1316
E06-S03-C0,E06,English,S03,C0,Turn left at the next light.,6,Turn left at the next light.,0,0,0,745
E06-S03-C1,E06,English,S03,C1,Turn left at the next light.,6,Turn body at the next door.,2,0,0,968
E06-S03-C2,E06,English,S03,C2,Turn left at the next light.,6,body left at the next door.,0,2,1,1216
E06-S03-C3,E06,English,S03,C3,Turn left at the next light.,6,salad signals at morning next body.,4,2,1,1499
E06-S04-C0,E06,English,S04,C0,The package arrived this morning.,5,The package arrived this morning.,0,0,0,591
E06-S04-C1,E06,English,S04,C1,The package arrived this morning.,5,signals package arrived this morning.,0,1,0,946
E06-S04-C2,E06,English,S04,C2,The package arrived this morning.,5,The package arrived food package.,2,0,0,1062
E06-S04-C3,E06,English,S04,C3,The package arrived this morning.,5,door package arrived this soup.,2,0,1,1617
E06-S05-C0,E06,English,S05,C0,Today we are going to discuss the nervous system and how signals travel through the body.,16,Today we are going to discuss the nervous system and how signals travel package the body.,0,0,1,638
E06-S05-C1,E06,English,S05,C1,Today we are going to discuss the nervous system and how signals travel through the body.,16,Today food are going to discuss the nervous system and how signals travel through the menu.,0,2,0,863
E06-S05-C2,E06,English,S05,C2,Today we are going to discuss the nervous system and how signals travel through the body.,16,Today meeting are going to discuss the nervous system and soup signals travel through the body.,1,0,2,1192
E06-S05-C3,E06,English,S05,C3,Today we are going to discuss the nervous system and how signals travel through the body.,16,Today we are going to discuss meeting morning system and Saturday signals package Friday the body.,1,2,3,1475
E06-S06-C0,E06,English,S06,C0,"Could you pass the menu, I think I want the soup and a salad tonight.",15,"Could you pass the menu, I think I want the soup and a salad tonight.",0,0,0,655
E06-S06-C1,E06,English,S06,C1,"Could you pass the menu, I think I want the soup and a salad tonight.",15,"Could you pass the menu, I think I want package soup and a salad tonight.",1,0,0,816
E06-S06-C2,E06,English,S06,C2,"Could you pass the menu, I think I want the soup and a salad tonight.",15,"Could you pass the menu, I Saturday I want food soup package a salad package.",0,2,3,1176
E06-S06-C3,E06,English,S06,C3,"Could you pass the menu, I think I want the soup and a salad tonight.",15,"Could morning pass door menu, signals Friday I want the soup and door salad tonight.",4,2,0,1615
E06-S07-C0,E06,English,S07,C0,"Wait, so are we meeting Friday or Saturday, and who is bringing the food?",14,"Wait, so are we food Friday or Saturday, and who is bringing the food?",0,1,0,694
E06-S07-C1,E06,English,S07,C1,"Wait, so are we meeting Friday or Saturday, and who is bringing the food?",14,"door, so are we meeting Friday or Saturday, and who is bringing the food?",0,1,0,961
E06-S07-C2,E06,English,S07,C2,"Wait, so are we meeting Friday or Saturday, and who is bringing the food?",14,"Wait, so are we meeting Friday or menu, and who is bringing package food?",1,1,1,1030
E06-S07-C3,E06,English,S07,C3,"Wait, so are we meeting Friday or Saturday, and who is bringing the food?",14,"Wait, so are we body Friday menu menu, morning who is bringing the food?",2,3,0,1587
K03-S01-C0,K03,Korean,S01,C0,회의는 세 시에 시작합니다.,4,회의는 세 시에 시작합니다.,0,0,0,649
K03-S01-C1,K03,Korean,S01,C1,회의는 세 시에 시작합니다.,4,회의는 세 시에 오늘,1,0,1,936
K03-S01-C2,K03,Korean,S01,C2,회의는 세 시에 시작합니다.,4,다음 메뉴 시에 오늘,3,0,2,1152
K03-S01-C3,K03,Korean,S01,C3,회의는 세 시에 시작합니다.,4,회의는 세 오늘 정말,2,3,2,1589
K03-S02-C0,K03,Korean,S02,C0,나가실 때 문을 닫아 주세요.,5,나가실 때 문을 닫아 주세요.,0,0,0,683
K03-S02-C1,K03,Korean,S02,C1,나가실 때 문을 닫아 주세요.,5,나가실 때 이야기 닫아 주세요.,1,0,0,920
K03-S02-C2,K03,Korean,S02,C2,나가실 때 문을 닫아 주세요.,5,나가실 때 문을 닫아 메뉴,2,0,0,1227
K03-S02-C3,K03,Korean,S02,C3,나가실 때 문을 닫아 주세요.,5,나가실 때 시작해요 메뉴 정말,5,0,1,1424
K03-S03-C0,K03,Korean,S03,C0,다음 신호등에서 좌회전하세요.,3,다음 신호등에서 좌회전하세요.,0,0,0,561
K03-S03-C1,K03,Korean,S03,C1,다음 신호등에서 좌회전하세요.,3,신호등 신호등에서 내일,0,0,2,942
K03-S03-C2,K03,Korean,S03,C2,다음 신호등에서 좌회전하세요.,3,다음 정말 이야기,0,2,2,1119
K03-S03-C3,K03,Korean,S03,C3,다음 신호등에서 좌회전하세요.,3,내일 신호등에서 다음,4,2,0,1245
K03-S04-C0,K03,Korean,S04,C0,소포가 오늘 아침에 도착했습니다.,4,다음 오늘 아침에 도착했습니다.,0,1,0,568
K03-S04-C1,K03,Korean,S04,C1,소포가 오늘 아침에 도착했습니다.,4,시작해요 오늘 오늘 도착했습니다.,2,0,1,810
K03-S04-C2,K03,Korean,S04,C2,소포가 오늘 아침에 도착했습니다.,4,음식 정말 음식 도착했습니다.,0,0,3,1094
K03-S04-C3,K03,Korean,S04,C3,소포가 오늘 아침에 도착했습니다.,4,금요일 내일 아침에 도착했어요,2,0,3,1501
K03-S05-C0,K03,Korean,S05,C0,오늘은 신경계와 신호가 몸속을 이동하는 방식에 대해 이야기해 볼게요.,9,오늘은 신경계와 신호가 몸속을 이동하는 방식에 대해 이야기해 볼게요.,0,0,0,755
K03-S05-C1,K03,Korean,S05,C1,오늘은 신경계와 신호가 몸속을 이동하는 방식에 대해 이야기해 볼게요.,9,오늘은 신경계와 신호가 몸속을 이동하는 신호등 대해 이야기해 볼게요.,1,0,0,756
K03-S05-C2,K03,Korean,S05,C2,오늘은 신경계와 신호가 몸속을 이동하는 방식에 대해 이야기해 볼게요.,9,오늘은 신경계와 신호가 몸속을 토요일 도착했어요 대해 이야기해 시작해요,1,0,3,974
K03-S05-C3,K03,Korean,S05,C3,오늘은 신경계와 신호가 몸속을 이동하는 방식에 대해 이야기해 볼게요.,9,오늘은 신경계와 내일 몸속을 금요일 도착했어요 조금 토요일 볼게요.,6,0,0,1301
K03-S06-C0,K03,Korean,S06,C0,메뉴판 좀 건네줄래요? 오늘은 수프랑 샐러드를 먹고 싶어요.,8,메뉴판 좀 건네줄래요? 오늘은 수프랑 샐러드를 먹고 싶어요.,0,0,0,627
K03-S06-C1,K03,Korean,S06,C1,메뉴판 좀 건네줄래요? 오늘은 수프랑 샐러드를 먹고 싶어요.,8,오늘 좀 금요일 오늘은 수프랑 샐러드를 먹고 싶어요.,1,2,0,921
K03-S06-C2,K03,Korean,S06,C2,메뉴판 좀 건네줄래요? 오늘은 수프랑 샐러드를 먹고 싶어요.,8,메뉴판 좀 건네줄래요? 다음 조금 샐러드를 금요일 다음,4,0,0,1048
K03-S06-C3,K03,Korean,S06,C3,메뉴판 좀 건네줄래요? 오늘은 수프랑 샐러드를 먹고 싶어요.,8,메뉴판 좀 건네줄래요? 메뉴 수프랑 샐러드를 내일 다음,1,6,0,1574
K03-S07-C0,K03,Korean,S07,C0,"잠깐, 그럼 금요일에 만나는 거예요 토요일에 만나는 거예요? 그리고 음식은 누가 가져와요?",12,"잠깐, 그럼 금요일에 만나는 거예요 토요일에 만나는 거예요? 그리고 음식은 누가 가져와요?",0,0,0,737
K03-S07-C1,K03,Korean,S07,C1,"잠깐, 그럼 금요일에 만나는 거예요 토요일에 만나는 거예요? 그리고 음식은 누가 가져와요?",12,"잠깐, 그럼 금요일에 만나는 거예요 토요일에 만나는 시작해요 그리고 음식은 누가 가져와요?",1,0,0,786
K03-S07-C2,K03,Korean,S07,C2,"잠깐, 그럼 금요일에 만나는 거예요 토요일에 만나는 거예요? 그리고 음식은 누가 가져와요?",12,오늘 그럼 금요일에 내일 도착했어요 토요일에 만나는 거예요? 메뉴 내일 누가 가져와요?,1,1,3,979
K03-S07-C3,K03,Korean,S07,C3,"잠깐, 그럼 금요일에 만나는 거예요 토요일에 만나는 거예요? 그리고 음식은 누가 가져와요?",12,조금 정말 금요일에 만나는 거예요 토요일에 오늘 토요일 내일 음식은 가져와요 가져와요?,7,0,0,1383
K04-S01-C0,K04,Korean,S01,C0,회의는 세 시에 시작합니다.,4,회의는 세 도착했어요 시작합니다.,0,0,1,700
K04-S01-C1,K04,Korean,S01,C1,회의는 세 시에 시작합니다.,4,회의는 시작해요 시에 토요일,1,1,0,912
K04-S01-C2,K04,Korean,S01,C2,회의는 세 시에 시작합니다.,4,회의는 내일 이야기 메뉴,3,0,2,1067
K04-S01-C3,K04,Korean,S01,C3,회의는 세 시에 시작합니다.,4,이야기 음식 내일 가져와요,3,3,1,1531
K04-S02-C0,K04,Korean,S02,C0,나가실 때 문을 닫아 주세요.,5,나가실 도착했어요 문을 닫아 주세요.,0,0,1,586
K04-S02-C1,K04,Korean,S02,C1,나가실 때 문을 닫아 주세요.,5,나가실 다음 문을 닫아 정말,1,0,1,951
K04-S02-C2,K04,Korean,S02,C2,나가실 때 문을 닫아 주세요.,5,나가실 때 문을 조금 정말,1,1,0,938
K04-S02-C3,K04,Korean,S02,C3,나가실 때 문을 닫아 주세요.,5,나가실 때 메뉴 가져와요 이야기,4,1,0,1203
K04-S03-C0,K04,Korean,S03,C0,다음 신호등에서 좌회전하세요.,3,다음 신호등에서 좌회전하세요.,0,0,0,661
K04-S03-C1,K04,Korean,S03,C1,다음 신호등에서 좌회전하세요.,3,정말 조금 좌회전하세요.,3,0,0,797
K04-S03-C2,K04,Korean,S03,C2,다음 신호등에서 좌회전하세요.,3,금요일 시작해요 좌회전하세요.,2,1,0,1113
K04-S03-C3,K04,Korean,S03,C3,다음 신호등에서 좌회전하세요.,3,도착했어요 다음 음식,2,1,1,1239
K04-S04-C0,K04,Korean,S04,C0,소포가 오늘 아침에 도착했습니다.,4,소포가 오늘 아침에 도착했습니다.,0,0,0,747
K04-S04-C1,K04,Korean,S04,C1,소포가 오늘 아침에 도착했습니다.,4,메뉴 오늘 아침에 도착했습니다.,0,1,0,883
K04-S04-C2,K04,Korean,S04,C2,소포가 오늘 아침에 도착했습니다.,4,도착했어요 오늘 아침에 도착했습니다.,0,0,3,1048
K04-S04-C3,K04,Korean,S04,C3,소포가 오늘 아침에 도착했습니다.,4,정말 시작해요 시작해요 도착했습니다.,3,0,0,1417
K04-S05-C0,K04,Korean,S05,C0,오늘은 신경계와 신호가 몸속을 이동하는 방식에 대해 이야기해 볼게요.,9,오늘은 신경계와 신호가 몸속을 이동하는 오늘 대해 이야기해 볼게요.,0,0,1,773
K04-S05-C1,K04,Korean,S05,C1,오늘은 신경계와 신호가 몸속을 이동하는 방식에 대해 이야기해 볼게요.,9,오늘은 시작해요 신호가 몸속을 이동하는 방식에 대해 이야기해 볼게요.,0,1,0,788
K04-S05-C2,K04,Korean,S05,C2,오늘은 신경계와 신호가 몸속을 이동하는 방식에 대해 이야기해 볼게요.,9,이야기 신경계와 신호가 몸속을 이동하는 방식에 대해 이야기해 정말,2,0,0,1086
K04-S05-C3,K04,Korean,S05,C3,오늘은 신경계와 신호가 몸속을 이동하는 방식에 대해 이야기해 볼게요.,9,가져와요 신경계와 금요일 정말 이동하는 방식에 대해 이야기해 메뉴,4,1,0,1450
K04-S06-C0,K04,Korean,S06,C0,메뉴판 좀 건네줄래요? 오늘은 수프랑 샐러드를 먹고 싶어요.,8,메뉴판 좀 건네줄래요? 오늘은 수프랑 샐러드를 먹고 싶어요.,0,0,0,575
K04-S06-C1,K04,Korean,S06,C1,메뉴판 좀 건네줄래요? 오늘은 수프랑 샐러드를 먹고 싶어요.,8,메뉴판 좀 건네줄래요? 가져와요 수프랑 샐러드를 먹고 싶어요.,0,0,2,735
K04-S06-C2,K04,Korean,S06,C2,메뉴판 좀 건네줄래요? 오늘은 수프랑 샐러드를 먹고 싶어요.,8,메뉴판 좀 신호등 오늘은 수프랑 샐러드를 오늘 싶어요.,1,0,1,1161
K04-S06-C3,K04,Korean,S06,C3,메뉴판 좀 건네줄래요? 오늘은 수프랑 샐러드를 먹고 싶어요.,8,메뉴판 오늘 건네줄래요? 오늘은 다음 토요일 음식 메뉴,2,0,4,1237
K04-S07-C0,K04,Korean,S07,C0,"잠깐, 그럼 금요일에 만나는 거예요 토요일에 만나는 거예요? 그리고 음식은 누가 가져와요?",12,"잠깐, 그럼 금요일에 만나는 거예요 토요일에 만나는 거예요? 그리고 금요일 누가 가져와요?",1,0,0,729
K04-S07-C1,K04,Korean,S07,C1,"잠깐, 그럼 금요일에 만나는 거예요 토요일에 만나는 거예요? 그리고 음식은 누가 가져와요?",12,"잠깐, 그럼 금요일에 만나는 거예요 토요일에 만나는 거예요? 그리고 음식은 누가 다음",1,0,0,769
K04-S07-C2,K04,Korean,S07,C2,"잠깐, 그럼 금요일에 만나는 거예요 토요일에 만나는 거예요? 그리고 음식은 누가 가져와요?",12,도착했어요 그럼 금요일에 만나는 거예요 토요일에 만나는 거예요? 조금 음식은 누가 조금,0,3,0,1031
K04-S07-C3,K04,Korean,S07,C3,"잠깐, 그럼 금요일에 만나는 거예요 토요일에 만나는 거예요? 그리고 음식은 누가 가져와요?",12,"잠깐, 시작해요 금요일에 조금 거예요 토요일 메뉴 거예요? 도착했어요 음식은 누가 가져와요?",0,3,2,1413
K05-S01-C0,K05,Korean,S01,C0,회의는 세 시에 시작합니다.,4,회의는 세 시에 시작합니다.,0,0,0,645
K05-S01-C1,K05,Korean,S01,C1,회의는 세 시에 시작합니다.,4,금요일 세 시에 시작합니다.,0,1,1,976
K05-S01-C2,K05,Korean,S01,C2,회의는 세 시에 시작합니다.,4,시작해요 세 토요일 시작합니다.,0,1,2,1138
K05-S01-C3,K05,Korean,S01,C3,회의는 세 시에 시작합니다.,4,음식 세 도착했어요 토요일,5,0,0,1447
K05-S02-C0,K05,Korean,S02,C0,나가실 때 문을 닫아 주세요.,5,나가실 때 문을 닫아 주세요.,0,0,0,700
K05-S02-C1,K05,Korean,S02,C1,나가실 때 문을 닫아 주세요.,5,음식 때 시작해요 가져와요 주세요.,3,0,0,880
K05-S02-C2,K05,Korean,S02,C2,나가실 때 문을 닫아 주세요.,5,나가실 오늘 문을 닫아 주세요.,0,2,0,1189
K05-S02-C3,K05,Korean,S02,C3,나가실 때 문을 닫아 주세요.,5,도착했어요 이야기 문을 닫아 조금,2,0,1,1398
K05-S03-C0,K05,Korean,S03,C0,다음 신호등에서 좌회전하세요.,3,다음 신호등에서 좌회전하세요.,0,0,0,605
K05-S03-C1,K05,Korean,S03,C1,다음 신호등에서 좌회전하세요.,3,도착했어요 신호등에서 토요일,0,2,0,888
K05-S03-C2,K05,Korean,S03,C2,다음 신호등에서 좌회전하세요.,3,정말 신호등에서 음식,2,0,2,1162
K05-S03-C3,K05,Korean,S03,C3,다음 신호등에서 좌회전하세요.,3,다음 내일 내일,6,0,1,1420
K05-S04-C0,K05,Korean,S04,C0,소포가 오늘 아침에 도착했습니다.,4,소포가 오늘 아침에 도착했습니다.,0,0,0,736
K05-S04-C1,K05,Korean,S04,C1,소포가 오늘 아침에 도착했습니다.,4,소포가 도착했어요 아침에 도착했습니다.,0,1,0,826
K05-S04-C2,K05,Korean,S04,C2,소포가 오늘 아침에 도착했습니다.,4,시작해요 조금 아침에 신호등,0,3,1,1225
K05-S04-C3,K05,Korean,S04,C3,소포가 오늘 아침에 도착했습니다.,4,오늘 이야기 가져와요 정말,7,0,0,1327
K05-S05-C0,K05,Korean,S05,C0,오늘은 신경계와 신호가 몸속을 이동하는 방식에 대해 이야기해 볼게요.,9,오늘은 신경계와 신호가 몸속을 이동하는 방식에 대해 이야기해 신호등,0,1,0,744
K05-S05-C1,K05,Korean,S05,C1,오늘은 신경계와 신호가 몸속을 이동하는 방식에 대해 이야기해 볼게요.,9,오늘은 이야기 음식 몸속을 이동하는 토요일 대해 이야기해 볼게요.,1,1,1,962
K05-S05-C2,K05,Korean,S05,C2,오늘은 신경계와 신호가 몸속을 이동하는 방식에 대해 이야기해 볼게요.,9,오늘은 신경계와 오늘 몸속을 토요일 금요일 대해 이야기해 볼게요.,0,2,2,1059
K05-S05-C3,K05,Korean,S05,C3,오늘은 신경계와 신호가 몸속을 이동하는 방식에 대해 이야기해 볼게요.,9,내일 신경계와 신호가 정말 내일 방식에 음식 이야기해 내일,0,5,2,1243
K05-S06-C0,K05,Korean,S06,C0,메뉴판 좀 건네줄래요? 오늘은 수프랑 샐러드를 먹고 싶어요.,8,메뉴판 좀 건네줄래요? 오늘은 수프랑 샐러드를 먹고 싶어요.,0,0,0,641
K05-S06-C1,K05,Korean,S06,C1,메뉴판 좀 건네줄래요? 오늘은 수프랑 샐러드를 먹고 싶어요.,8,메뉴판 좀 건네줄래요? 오늘은 다음 샐러드를 먹고 싶어요.,1,0,0,770
K05-S06-C2,K05,Korean,S06,C2,메뉴판 좀 건네줄래요? 오늘은 수프랑 샐러드를 먹고 싶어요.,8,메뉴판 좀 건네줄래요? 도착했어요 수프랑 샐러드를 금요일 싶어요.,4,0,0,940
K05-S06-C3,K05,Korean,S06,C3,메뉴판 좀 건네줄래요? 오늘은 수프랑 샐러드를 먹고 싶어요.,8,내일 좀 건네줄래요? 조금 수프랑 샐러드를 가져와요 싶어요.,3,0,1,1384
K05-S07-C0,K05,Korean,S07,C0,"잠깐, 그럼 금요일에 만나는 거예요 토요일에 만나는 거예요? 그리고 음식은 누가 가져와요?",12,"잠깐, 그럼 금요일에 만나는 거예요 토요일에 만나는 거예요? 그리고 음식은 누가 가져와요?",0,0,0,753
K05-S07-C1,K05,Korean,S07,C1,"잠깐, 그럼 금요일에 만나는 거예요 토요일에 만나는 거예요? 그리고 음식은 누가 가져와요?",12,"잠깐, 그럼 조금 메뉴 내일 토요일에 만나는 거예요? 그리고 음식은 누가 가져와요?",3,0,0,874
K05-S07-C2,K05,Korean,S07,C2,"잠깐, 그럼 금요일에 만나는 거예요 토요일에 만나는 거예요? 그리고 음식은 누가 가져와요?",12,도착했어요 그럼 가져와요 만나는 거예요 신호등 메뉴 거예요? 그리고 음식은 누가 정말,0,2,3,997
K05-S07-C3,K05,Korean,S07,C3,"잠깐, 그럼 금요일에 만나는 거예요 토요일에 만나는 거예요? 그리고 음식은 누가 가져와요?",12,"잠깐, 그럼 금요일에 만나는 거예요 금요일 내일 거예요? 그리고 오늘 누가 가져와요?",0,0,3,1282
K06-S01-C0,K06,Korean,S01,C0,회의는 세 시에 시작합니다.,4,회의는 세 시에 다음,0,0,1,658
K06-S01-C1,K06,Korean,S01,C1,회의는 세 시에 시작합니다.,4,메뉴 세 시에 시작합니다.,0,1,0,896
K06-S01-C2,K06,Korean,S01,C2,회의는 세 시에 시작합니다.,4,도착했어요 세 시에 이야기,3,0,0,1028
K06-S01-C3,K06,Korean,S01,C3,회의는 세 시에 시작합니다.,4,오늘 세 가져와요 내일,1,0,2,1487
K06-S02-C0,K06,Korean,S02,C0,나가실 때 문을 닫아 주세요.,5,나가실 때 문을 닫아 주세요.,0,0,0,767
K06-S02-C1,K06,Korean,S02,C1,나가실 때 문을 닫아 주세요.,5,다음 때 문을 닫아 주세요.,0,1,0,839
K06-S02-C2,K06,Korean,S02,C2,나가실 때 문을 닫아 주세요.,5,이야기 때 신호등 메뉴 주세요.,1,0,2,1031
K06-S02-C3,K06,Korean,S02,C3,나가실 때 문을 닫아 주세요.,5,나가실 정말 문을 내일 조금,1,0,2,1353
K06-S03-C0,K06,Korean,S03,C0,다음 신호등에서 좌회전하세요.,3,다음 신호등에서 좌회전하세요.,0,0,0,705
K06-S03-C1,K06,Korean,S03,C1,다음 신호등에서 좌회전하세요.,3,토요일 신호등에서 좌회전하세요.,1,0,0,790
K06-S03-C2,K06,Korean,S03,C2,다음 신호등에서 좌회전하세요.,3,이야기 신호등에서 좌회전하세요.,3,0,0,1243
K06-S03-C3,K06,Korean,S03,C3,다음 신호등에서 좌회전하세요.,3,내일 내일 정말,6,0,0,1647
K06-S04-C0,K06,Korean,S04,C0,소포가 오늘 아침에 도착했습니다.,4,소포가 오늘 아침에 도착했습니다.,0,0,0,740
K06-S04-C1,K06,Korean,S04,C1,소포가 오늘 아침에 도착했습니다.,4,소포가 금요일 아침에 도착했습니다.,1,0,0,900
K06-S04-C2,K06,Korean,S04,C2,소포가 오늘 아침에 도착했습니다.,4,다음 오늘 아침에 이야기,1,1,0,1037
K06-S04-C3,K06,Korean,S04,C3,소포가 오늘 아침에 도착했습니다.,4,금요일 토요일 이야기 도착했습니다.,3,1,0,1219
K06-S05-C0,K06,Korean,S05,C0,오늘은 신경계와 신호가 몸속을 이동하는 방식에 대해 이야기해 볼게요.,9,오늘은 신경계와 신호가 몸속을 이동하는 방식에 대해 이야기해 볼게요.,0,0,0,564
K06-S05-C1,K06,Korean,S05,C1,오늘은 신경계와 신호가 몸속을 이동하는 방식에 대해 이야기해 볼게요.,9,오늘은 신경계와 신호가 몸속을 정말 방식에 조금 이야기해 볼게요.,1,1,0,842
K06-S05-C2,K06,Korean,S05,C2,오늘은 신경계와 신호가 몸속을 이동하는 방식에 대해 이야기해 볼게요.,9,오늘은 신경계와 오늘 몸속을 이동하는 방식에 오늘 이야기해 볼게요.,3,0,0,1240
K06-S05-C3,K06,Korean,S05,C3,오늘은 신경계와 신호가 몸속을 이동하는 방식에 대해 이야기해 볼게요.,9,오늘은 신경계와 신호가 몸속을 이동하는 조금 조금 다음 볼게요.,0,1,3,1517
K06-S06-C0,K06,Korean,S06,C0,메뉴판 좀 건네줄래요? 오늘은 수프랑 샐러드를 먹고 싶어요.,8,메뉴판 좀 건네줄래요? 오늘은 수프랑 샐러드를 먹고 싶어요.,0,0,0,689
K06-S06-C1,K06,Korean,S06,C1,메뉴판 좀 건네줄래요? 오늘은 수프랑 샐러드를 먹고 싶어요.,8,오늘 좀 건네줄래요? 도착했어요 수프랑 샐러드를 내일 싶어요.,3,0,0,913
K06-S06-C2,K06,Korean,S06,C2,메뉴판 좀 건네줄래요? 오늘은 수프랑 샐러드를 먹고 싶어요.,8,메뉴판 오늘 건네줄래요? 오늘은 수프랑 샐러드를 음식 싶어요.,2,0,0,971
K06-S06-C3,K06,Korean,S06,C3,메뉴판 좀 건네줄래요? 오늘은 수프랑 샐러드를 먹고 싶어요.,8,메뉴판 좀 정말 시작해요 수프랑 가져와요 먹고 메뉴,2,0,4,1252
K06-S07-C0,K06,Korean,S07,C0,"잠깐, 그럼 금요일에 만나는 거예요 토요일에 만나는 거예요? 그리고 음식은 누가 가져와요?",12,"잠깐, 그럼 금요일에 만나는 거예요 토요일에 만나는 거예요? 그리고 음식은 누가 가져와요?",0,0,0,617
K06-S07-C1,K06,Korean,S07,C1,"잠깐, 그럼 금요일에 만나는 거예요 토요일에 만나는 거예요? 그리고 음식은 누가 가져와요?",12,신호등 그럼 금요일에 만나는 거예요 토요일에 만나는 거예요? 그리고 음식은 누가 가져와요?,0,0,1,814
K06-S07-C2,K06,Korean,S07,C2,"잠깐, 그럼 금요일에 만나는 거예요 토요일에 만나는 거예요? 그리고 음식은 누가 가져와요?",12,"잠깐, 그럼 정말 만나는 거예요 토요일에 신호등 이야기 그리고 음식은 누가 가져와요?",2,1,0,930
K06-S07-C3,K06,Korean,S07,C3,"잠깐, 그럼 금요일에 만나는 거예요 토요일에 만나는 거예요? 그리고 음식은 누가 가져와요?",12,"잠깐, 메뉴 금요일에 만나는 가져와요 이야기 만나는 거예요? 그리고 음식은 누가 가져와요?",2,2,1,1568
